,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size,Movie or Show
654,Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80.0,80,Movie
655,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80,Movie
656,Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80,Movie
657,Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64.0,80,Movie
658,Annie,PG,adult content and mld violence,60,1982,68.0,80,Movie
659,Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85.0,80,Movie
660,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80,Movie
661,Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85.0,80,Movie
662,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,,82,Movie
663,Bee Movie,PG,mild suggestive humor,60,2007,94.0,80,Movie
664,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80,Movie
668,Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,,82,Movie
678,Paddington,PG,mild action and rude humor,60,2014,70.0,80,Movie
684,Minions,PG,action and rude humor,60,2015,96.0,80,Movie
687,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80,Movie
689,The Little Prince,PG,mild thematic elements,60,2015,71.0,80,Movie
691,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80,Movie
692,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80,Movie
694,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80,Movie
695,The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80,Movie
696,Finding Dory,PG,mild thematic elements,60,2016,98.0,80,Movie
697,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81,Movie
700,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80,Movie
701,Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96.0,80,Movie
702,The Little Rascals,PG,some rude dialogue,60,1994,86.0,80,Movie
703,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80,Movie
704,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80,Movie
705,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80,Movie
706,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80,Movie
707,Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80,Movie
708,Missione Hamburger,PG,"language, some comic violence and mild sex-related humor",60,1997,75.0,80,Movie
709,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80,Movie
710,Curious George,G,General Audiences. Suitable for all ages.,35,2006,55.0,80,Movie
711,Bee Movie,PG,mild suggestive humor,60,2007,94.0,80,Movie
712,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80,Movie
713,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80,Movie
717,Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65.0,80,Movie
724,Home,PG,mild action and some rude humor,60,2015,94.0,80,Movie
725,Paddington,PG,mild action and rude humor,60,2014,70.0,80,Movie
728,Minions,PG,action and rude humor,60,2015,96.0,80,Movie
731,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80,Movie
734,Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92.0,80,Movie
736,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80,Movie
737,The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80,Movie
738,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80,Movie
739,The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,,82,Movie
740,The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80,Movie
741,Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80,Movie
742,The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97.0,80,Movie
743,The Secret Life of Pets,PG,for action and some rude humor,60,2016,,81,Movie
744,Pete's Dragon,PG,"for action, peril and brief language",60,2016,93.0,80,Movie
745,Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96.0,80,Movie
748,Growing Up Wild,G,,35,2016,80.0,80,Movie
750,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80,Movie
751,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80,Movie
752,Antz,PG,moderate adult language and intense action,60,1998,80.0,80,Movie
753,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,,82,Movie
754,The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81.0,80,Movie
755,Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,,82,Movie
756,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80,Movie
757,The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80,Movie
758,Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,,82,Movie
760,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80,Movie
761,Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61.0,80,Movie
762,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67.0,80,Movie
763,Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,,82,Movie
764,FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35,1998,,82,Movie
765,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,,82,Movie
766,Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80,Movie
